Time,Actual Shipment,Desired Shipment,Production Start,Desired Production Start,Actual WIP,Desired WIP,Actual Production,Desired Production,Actual Inventory,Desired Inventory
10.2,12032.5671,11712.31732,13913.78311,13913.78311,93442.92311,97016.39146,10660.03891,12127.04893,34505.73255,43840.708
10.3,12046.95123,11718.99476,13914.3467,13914.3467,93768.29753,97277.59275,10693.22955,12159.69909,34400.50471,43892.69915
10.4,12061.0015,11725.52765,13913.66603,13913.66603,94090.40925,97534.19305,10726.99074,12191.77413,34297.92818,43944.04041
10.5,12074.72511,11731.92557,13911.80238,13911.80238,94409.07678,97786.14523,10761.28987,12223.26815,34198.07449,43994.73991
10.6,12088.12883,11738.19748,13908.81477,13908.81477,94724.12803,98033.40605,10796.09384,12254.17576,34101.01092,44044.80566
10.7,12101.21896,11744.35177,13904.76007,13904.76007,95035.40012,98275.93621,10831.3692,12284.49203,34006.80056,44094.24559
10.8,12114.00137,11750.21118,13899.69305,13899.69305,95342.73921,98513.70025,10867.08225,12314.21253,33915.5023,44143.06752
10.9,12126.49081,11749.9976,13893.65493,13893.65493,95646.00029,98746.64811,10903.19906,12343.33101,33827.18941,44191.27917
11,12138.99093,11750.1547,13886.32394,13886.32394,95945.04588,98974.155,10939.68563,12371.76937,33742.50956,44238.88818
11.1,12151.4832,11750.66967,13877.7974,13877.7974,96239.70971,99196.2436,10976.50791,12399.53045,33661.46265,44285.90208
11.2,12163.94972,11751.52995,13868.1672,13868.1672,96529.83866,99412.93845,11013.6319,12426.61731,33584.04647,44332.32831
11.3,12176.37322,11752.72319,13857.52012,13857.52012,96815.29219,99624.26594,11051.02371,12453.03324,33510.25667,44378.1742
11.4,12188.73706,11754.23724,13845.93806,13845.93806,97095.94183,99830.25436,11088.64959,12478.78179,33440.08672,44423.44702
11.5,12201.0252,11756.06018,13833.49832,13833.49832,97371.67067,100030.9339,11126.47599,12503.86673,33373.52795,44468.15394
11.6,12213.22219,11758.18026,13820.27386,13820.27386,97642.37291,100226.3365,11164.46962,12528.29206,33310.56953,44512.30201
11.7,12225.31317,11760.58594,13806.33349,13806.33349,97907.95333,100416.4962,11202.59748,12552.06203,33251.19847,44555.89824
11.8,12237.28388,11763.26584,13791.7421,13791.7421,98168.32693,100601.4489,11240.82695,12575.18111,33195.39962,44598.94951
11.9,12249.12059,11766.20878,13776.56089,13776.56089,98423.41845,100781.2322,11279.1258,12597.65402,33143.15574,44641.46264
12,12260.81015,11769.40374,13760.84754,13760.84754,98673.16196,100955.8856,11317.46223,12619.4857,33094.44744,44683.44436
12.1,12272.33996,11772.8399,13744.6564,13744.6564,98917.50049,101125.4506,11355.80499,12640.68133,33049.25329,44724.9013
12.2,12283.69796,11776.50657,13728.03863,13728.03863,99156.38563,101289.9703,11394.12331,12661.24629,33007.5498,44765.84004
12.3,12294.87264,11780.39327,13711.04245,13711.04245,99389.77716,101449.4896,11432.38705,12681.18621,32969.31147,44806.26704
12.4,12305.85297,11784.48964,13693.71318,13693.71318,99617.6427,101604.0552,11470.56666,12700.50691,32934.51085,44846.1887
12.5,12316.62849,11788.78551,13676.09349,13676.09349,99839.95735,101753.7155,11508.63325,12719.21443,32903.11855,44885.61134
12.6,12327.18921,11793.27089,13658.22348,13658.22348,100056.7034,101898.5203,11546.55865,12737.31503,32875.10332,44924.5412
12.7,12337.52567,11797.93592,13640.14082,13640.14082,100267.8699,102038.5212,11584.31536,12754.81515,32850.4321,44962.98443
12.8,12347.62887,11802.77093,13621.88088,13621.88088,100473.4524,102173.7713,11621.87668,12771.72142,32829.07004,45000.94713
12.9,12357.49033,11807.76639,13603.47687,13603.47687,100673.4528,102304.3252,11659.21666,12788.04066,32810.98062,45038.43529
13,12367.10201,11812.91295,13584.95989,13584.95989,100867.8788,102430.2389,11696.31014,12803.77986,32796.12565,45075.45485
13.1,12376.45636,11818.20143,13566.3591,13566.3591,101056.7438,102551.5696,11733.1328,12818.9462,32784.46536,45112.01166
13.2,12385.54629,11823.62279,13547.7018,13547.7018,101240.0665,102668.376,11769.66115,12833.54701,32775.9585,45148.11152
13.3,12394.36515,11829.16819,13529.01351,13529.01351,101417.8705,102780.718,11805.87255,12847.58975,32770.56234,45183.76012
13.4,12402.90674,11834.82893,13510.31806,13510.31806,101590.1846,102888.6566,11841.74522,12861.08207,32768.23277,45218.96312
13.5,12411.16529,11840.59649,13491.6377,13491.6377,101757.0419,102992.2538,11877.25828,12874.03173,32768.9244,45253.72608
13.6,12419.13547,11846.46253,13472.99316,13472.99316,101918.4798,103091.5729,11912.3917,12886.44662,32772.59058,45288.05451
13.7,12426.81234,11852.41887,13454.40374,13454.40374,102074.54,103186.678,11947.12637,12898.33475,32779.1835,45321.95382
13.8,12434.1914,11858.45749,13435.88736,13435.88736,102225.2677,103277.634,11981.44406,12909.70424,32788.65425,45355.4294
