"Time","Shipment Rate","Desired Shipment Rate","Customer Order Rate","Inventory","Desired Inventory","Production Rate","Desired Production","WIP Inventory","Desired WIP","Inventory Coverage","Order Fulfillment Ratio","WIP Coverage","Backlog","Delivery Delay","Material Usage Rate","Desired Material Usage Rate","Desired Material Inventory","Material Inventory","Material Delivery Rate","Desired Material Delivery Rate"
"8.2","11527.0037965527","11657.8553059559","12000","37019.677852186","42650.9417837818","10156.6573527853","11366.6434373949","86583.2826699597","90933.1474991594","3.21156117457489","0.988775679061967","8.5247812998452","23315.7106119118","2.02270347294278","13531.1844371215","13541.5758519948","27083.1517039896","24167.0082361249","14999.6475859271","14999.6475859271"
"8.3","11539.7814067769","11681.5051161283","12000","36882.6432078092","42717.8050114845","10173.1145670044","11408.8464783305","86920.7353783933","91270.7718266443","3.19613014386471","0.987867684177472","8.54416165333608","23363.0102322565","2.02456263326931","13577.0096067853","13583.8647024561","27167.7294049121","24313.8545510055","15010.8021294094","15010.8021294094"
"8.4","11552.0471441968","11704.5160457894","12000","36745.976523832","42783.832448841","10190.5310993872","11450.6901028364","87261.1248823714","91605.5208226909","3.18090603900378","0.986973498007425","8.56296144247272","23409.0320915788","2.02639686277063","13619.6898365899","13622.8880729961","27245.7761459923","24457.2338032679","15017.1592443583","15017.1592443583"
"8.5","11563.8296074886","11726.9136885796","12000","36609.824919351","42849.0345432305","10208.9075513446","11492.1598387925","87604.0407560917","91937.2787103404","3.1658910725944","0.986093179721294","8.58113763059338","23453.8273771592","2.02820589486814","13658.7788159169","13658.7788159169","27317.5576318338","24596.9807440447","15019.0672598114","15019.0672598114"
"8.6","11575.1560684971","11748.7222082051","12000","36474.3327137366","42913.4216114401","10228.2419582059","11533.241515073","87949.0278825489","92265.9321205836","3.15108776917531","0.985226807083171","8.59864561690285","23497.4444164103","2.02998942540056","13691.6936340903","13691.6936340903","27383.3872681806","24733.0095884342","15016.8824739635","15016.8824739635"
"8.7","11586.052521103","11769.9644047803","12000","36339.6413027075","42977.0038412971","10248.5298589306","11573.921277648","88295.3730501373","92591.3702211837","3.13649892718144","0.984374474097595","8.61541843225415","23539.9288095606","2.03174711720705","13721.9198631712","13721.9198631712","27443.8397263423","24865.5284724215","15011.0754901316","15011.0754901316"
"8.8","11596.5437281664","11790.6617787251","12000","36205.8890364902","43039.7912932809","10269.7643452349","11614.185605419","88642.7120505614","92913.4848433523","3.12212758259611","0.983536288784992","8.63142610391937","23581.3235574503","2.03347860450649","13749.5720018145","13749.5720018145","27499.144003629","24994.4440351176","15001.9219860703","15001.9219860703"
"8.9","11606.6532665328","11810.8345923168","12000","36073.2110981971","43101.7939021148","10291.9359796197","11654.0213260184","88990.6928162194","93232.1706081474","3.10797697405266","0.982712371070134","8.64664267174232","23621.6691846337","2.03518349710209","13774.7602219825","13774.7602219825","27549.5204439649","25119.6790335431","14989.6809271934","14989.6809271934"
"9","11616.4035695371","11830.5019289902","12000","35941.7393695058","43163.0214783384","10315.0329169875","11693.4156331887","89338.9752404556","93547.3250655095","3.09405050834833","0.981902850721117","8.66104606349107","23661.0038579804","2.03686138453635","13797.5905457156","13797.5905457156","27595.1810914312","25241.1711040642","14974.5955393991","14974.5955393991"
"9.1","11625.8159681386","11849.6817505133","12000","35811.6023042508","43223.4837098592","10339.0410296523","11732.3561031658","89687.2310033284","93858.8488253267","3.08035172777508","0.981107865418831","8.67461795983845","23699.3635010267","2.0385118400271","13818.165014165","13818.165014165","27636.33002833","25358.8716034326","14956.8942266137","14956.8942266137"
"9.2","11634.9107307684","11868.3909521064","12000","35682.9248104022","43283.1901634859","10363.9440347482","11770.830710007","90035.1434017797","94166.6456800556","3.06688427922691","0.980327558952164","8.68734365024649","23736.7819042128","2.04013442418953","13836.5818491449","13836.5818491449","27673.1636982898","25472.7445246774","14936.7914359511","14936.7914359511"
"9.3","11643.7071019614","11886.645415568","12000","35555.8281408002","43342.1502864424","10389.7236231514","11808.8278398159","90382.4071832194","94470.6227185269","3.05365188504361","0.979562079534368","8.69921188103797","23773.290831136","2.04172868854896","13852.9356074696","13852.9356074696","27705.8712149393","25582.7654833581","14914.4884732602","14914.4884732602"
"9.4","11652.223339836","11904.4600604699","12000","35430.4297929192","43400.3734078618","10416.3595891159","11846.3363038333","90728.7283816512","94770.6904306663","3.04065831555009","0.978811578236","8.71021469693252","23808.9201209398","2.04329417884939","13867.3173283409","13867.3173283409","27734.6346566817","25688.9207699371","14890.1742717132","14890.1742717132"
"9.5","11660.4767524792","11921.8488934781","12000","35306.8434178472","43457.8687402636","10443.8299599122","11883.3453503679","91073.8241555737","95066.7628029435","3.02790736325086","0.978076207530033","8.72034727730659","23843.6977869562","2.04483043816255","13879.8146740529","13879.8146740529","27759.6293481057","25791.2064642743","14864.0261159685","14864.0261159685"
"9.6","11668.4837332885","11938.8250558541","12000","35185.1787385905","43514.6453810103","10472.1111248349","11919.844675555","91417.4226269878","95358.7574044403","3.01540281863807","0.977356119944724","8.72960776840769","23877.6501117083","2.04633700980264","13890.5120642813","13890.5120642813","27781.0241285627","25889.6276084659","14836.2103243297","14836.2103243297"
"9.7","11676.2597953147","11955.4008691897","12000","35065.5414777451","43570.7123137476","10501.1779630175","11955.8244329372","91759.2627209324","95646.5954634978","3.00314844757186","0.976651466819956","8.73799711271301","23910.8017383795","2.04781344005158","13899.4908042199","13899.4908042199","27798.9816084398","25984.1974344708","14806.8828912045","14806.8828912045"
"9.8","11683.8196046477","11971.587879424","12000","34948.0332945154","43626.0784098258","10531.0039695601","11991.2752418703","92099.0940050526","95930.201934962","2.99114797019063","0.975962397162794","8.74551887657299","23943.175758848","2.04925928069992","13906.8292068249","13906.8292068249","27813.6584136499","26074.9366431692","14776.1900920653","14776.1900920653"
"9.9","11691.1770128794","11987.3968991916","12000","34832.7517310066","43680.752429703","10561.5613795356","12026.1881947628","92436.6765287791","96209.5055581023","2.97940504130882","0.975289056598083","8.7521790772231","23974.7937983832","2.05067409140858","13912.6027094244","13912.6027094244","27825.2054188487","26161.8727316932","14744.2690530021","14744.2690530021"
"10","11698.3450886782","12002.8380485476","12000","34719.7901676722","43734.7430243317","10592.8212894966","12060.5548631654","92771.780661768","96484.4389053228","2.96792323225912","0.974631586409988","8.75798601018192","24005.6760970953","2.05205744189649","13916.8839849427","13916.8839849427","27833.7679698855","26245.039366051","14711.24828686","14711.24828686"
"10.1","11705.3361485021","12017.9207941137","12000","34609.2377877541","43788.0587365275","10624.7537761552","12094.3673027286","93104.1869313126","96754.9384218285","2.95670601413552","0.97399012267041","8.76295007798331","24035.8415882275","2.05340891395958","13919.7430479865","13919.7430479865","27839.486095973","26324.4757962427","14677.2481978517","14677.2481978516"
"10.2","11712.1617864775","12032.6539866886","12000","34501.1795505194","43840.7080023209","10657.328011958","12127.6180570554","93433.6858584958","97020.9444564434","2.94575674239348","0.97336479545031","8.76708362111579","24065.3079733773","2.05472810332609","13921.2473560293","13921.2473560293","27842.4947120585","26400.2263112293","14642.3815564439","14642.3815564439"
"10.3","11718.8329034661","12047.0458973648","12000","34395.6961730674","43892.6991522919","10690.512377317","12160.300160476","93760.0777929029","97282.4012838084","2.93507864276264","0.97275572811004","8.77040075196417","24094.0917947295","2.0560146213539","13921.4619059288","13921.4619059288","27842.9238118576","26472.3397312707","14606.7539462222","14606.7539462222"
"10.4","11725.3597353415","12061.1042521914","12000","34292.8641204525","43944.0404128883","10724.2745692995","12192.4071397765","94083.1727457641","97539.2571182124","2.92467479842772","0.97216303666483","8.77291719246887","24122.2085043829","2.05726809657497","13920.4493260007","13920.4493260007","27840.8986520014","26540.8689353001","14570.4641843513","14570.4641843513"
"10.5","11731.7518804946","12074.8362654244","12000","34192.7556038483","43994.7399077272","10758.5817066158","12223.9330149167","94402.7902214342","97791.4641193332","2.91454813843256","0.971586829221682","8.7746501161378","24149.6725308487","2.05848817609246","13918.2699638662","13918.2699638662","27836.5399277323","26605.8704211351","14533.6047171648","14533.6047171648"
"10.6","11738.0183265847","12088.2486713996","12000","34095.4385864604","44044.8056588806","10793.4004307724","12254.8722987727","94718.7590471592","98038.9783901813","2.90470142726219","0.971027205483988","8.77561799496592","24176.4973427993","2.05967452683588","13914.9819702837","13914.9819702837","27829.9639405674","26667.403896465","14496.261992335","14496.2619923349"
"10.7","11744.1674765524","12101.3477550704","12000","34000.9767968792","44094.2455881446","10828.6970032925","12285.2199959443","95030.9172011104","98281.7599675546","2.89513725555798","0.970484256320264","8.77584045173821","24202.6955101408","2.06082683667976","13910.6413791664","13910.6413791664","27821.2827583328","26725.5318986701","14458.5168089978","14458.5168089978"
"10.8","11749.6991480128","12114.1393812428","12000","33909.4297495532","44143.0675182928","10864.437398928","12314.9716006656","95339.1116386978","98519.7728053251","2.88598280878435","0.969916126786998","8.77533811811601","24228.2787624856","2.0620339684683","13905.3021839793","13905.3021839793","27810.6043679586","26780.3194416532","14420.444647132","14420.444647132"
"10.9","11749.4819099155","12126.6544238421","12000","33820.9035746447","44191.2791743141","10900.5873948146","12344.1167435372","95643.1981172029","98752.9339482976","2.87850169343235","0.968897232431639","8.77413249883214","24253.3088476843","2.06420240770077","13898.9846590846","13898.9846590846","27797.9693181691","26831.8336879685","14382.0524741849","14382.0524741849"
